Latin America & Caribbean,LCN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.06471491183006
Least developed countries: UN classification,LDC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.11528506407683
Low income,LIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.63222519957686
Liechtenstein,LIE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4
Sri Lanka,LKA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.046
Lower middle income,LMC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.76423411925947
Low & middle income,LMY,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.57377876660684
Lesotho,LSO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.094
Late-demographic dividend,LTE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.70329319568102
Lithuania,LTU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7
Luxembourg,LUX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.47
Latvia,LVA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.7
"Macao SAR, China",MAC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.311
St. Martin (French part),MAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.81
Morocco,MAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.491
Monaco,MCO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Moldova,MDA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.241
Madagascar,MDG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.184
Maldives,MDV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.093
Middle East & North Africa,MEA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.77446998260123
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.184
Marshall Islands,MHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,
Middle income,MIC,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.32702031914068
"Macedonia, FYR",MKD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.533
Mali,MLI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.057
Malta,MLT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.45
Myanmar,MMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.207
Middle East & North Africa (excluding high income),MNA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.82271211312292
Montenegro,MNE,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.667
